tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_common,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borough,cncldist,st_assem,st_senate,nta,nta_name,latitude,longitude
136775,102910,2015-08-11,2,0,OnCurb,dead,unknown,unknown,No,No,No,No,No,No,No,No,No,138 STANTON STREET,10002,New York,103,manhattan,2,74,26,MN27,Chinatown,40.72072554,-73.98597119
217429,405482,2015-09-12,2,0,OnCurb,alive,good,black cherry,No,No,No,No,No,No,No,No,No,79 WINHAM AVENUE,10306,Staten Island,502,staten island,50,64,24,SI45,New Dorp-Midland Beach,40.56525871,-74.10482543
546833,501560,2016-02-10,7,0,OnCurb,alive,good,callery pear,Yes,No,No,No,No,No,No,No,No,850 BRYANT AVENUE,10474,Bronx,202,bronx,17,85,32,BX27,Hunts Point,40.81836945,-73.8864649
544696,202257,2016-01-20,14,0,OnCurb,alive,fair,japanese zelkova,Yes,No,No,No,No,No,No,No,No,27 PENNSYLVANIA AVENUE,11207,Brooklyn,305,brooklyn,37,54,18,BK82,East New York,40.67752886,-73.8971913
135644,337069,2015-08-11,33,0,OnCurb,alive,good,pin oak,No,No,No,No,No,No,No,No,No,227-008 138 AVENUE,11413,Springfield Gardens,413,queens,31,29,14,QN66,Laurelton,40.67195307,-73.74578188
540099,600156,2015-12-29,0,30,OnCurb,stump,unknown,unknown,No,No,No,No,No,No,No,No,No,165 BUTTONWOOD ROAD,10304,Staten Island,502,staten island,50,62,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,40.59462491,-74.10831269
249702,500467,2015-09-23,7,0,OnCurb,alive,good,silver linden,No,No,No,No,No,No,No,No,No,240 EAST 139 STREET,10451,Bronx,201,bronx,8,84,29,BX39,Mott Haven-Port Morris,40.81206167,-73.92725375
140061,105630,2015-08-12,10,0,OnCurb,alive,good,honeylocust,No,No,No,No,No,No,No,No,No,301 EAST 39 STREET,10016,New York,106,manhattan,4,74,28,MN19,Turtle Bay-East Midtown,40.74774731,-73.97305712
502654,410594,2015-12-08,0,22,OnCurb,stump,unknown,unknown,No,No,No,No,No,No,No,No,No,47 TUCKAHOE AVENUE,10312,Staten Island,503,staten island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,40.5284937,-74.18817308
341738,510883,2015-10-17,16,0,OnCurb,alive,good,littleleaf linden,Yes,No,No,No,No,No,Yes,No,No,351 CITY ISLAND AVENUE,10464,Bronx,210,bronx,13,82,34,BX10,Pelham Bay-Country Club-City Island,40.8484772,-73.7870586
9139,220103,2015-06-03,6,0,OnCurb,alive,good,cherry,No,No,No,No,No,No,No,No,No,119 LIVINGSTON STREET,11201,Brooklyn,302,brooklyn,33,52,25,BK09,Brooklyn Heights-Cobble Hill,40.69125024,-73.98923165
677477,345162,2016-08-24,13,0,OnCurb,alive,good,honeylocust,No,No,No,No,No,No,No,No,No,70-032 72 PLACE,11385,Ridgewood,405,queens,30,38,15,QN19,Glendale,40.70556105,-73.87877215
617271,205115,2016-07-07,9,0,OnCurb,alive,good,littleleaf linden,Yes,No,Yes,No,No,No,No,No,No,1955 WEST 10 STREET,11223,Brooklyn,311,brooklyn,47,47,22,BK29,Bensonhurst East,40.59936999,-73.98184485
393053,502106,2015-10-28,6,0,OnCurb,alive,good,callery pear,Yes,No,No,No,No,No,No,No,No,590 EAST 166 STREET,10456,Bronx,203,bronx,16,79,32,BX35,Morrisania-Melrose,40.82745039,-73.90530161
51006,316303,2015-07-06,5,0,OnCurb,alive,good,pin oak,No,No,No,No,No,No,No,No,No,197-003 MC LAUGHLIN AVENUE,11423,Hollis,408,queens,23,24,11,QN06,Jamaica Estates-Holliswood,40.72465584,-73.7684401
